,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_scaled,area_scaled
50,7420000.0,7440.0,3,2.0,4,1,0,0,0,0,1,1,0,0.49090909090909085,0.3979381443298969
51,7420000.0,6325.0,3,1.0,4,1,0,0,0,1,1,0,0,0.49090909090909085,0.3213058419243986
52,7350000.0,6000.0,4,2.0,4,1,1,0,0,1,1,0,2,0.48484848484848486,0.29896907216494845
53,7350000.0,5150.0,3,2.0,4,1,0,0,0,1,2,0,1,0.48484848484848486,0.24054982817869414
54,7350000.0,6000.0,3,2.0,2,1,1,0,0,1,1,0,1,0.48484848484848486,0.29896907216494845
55,7350000.0,6000.0,3,1.0,2,1,0,0,0,1,1,0,0,0.48484848484848486,0.29896907216494845
56,7343000.0,11440.0,4,1.0,2,1,0,1,0,0,1,1,1,0.48424242424242425,0.672852233676976
57,7245000.0,9000.0,4,2.0,4,1,1,0,0,1,1,1,2,0.4757575757575757,0.5051546391752577
58,7210000.0,7680.0,4,2.0,4,1,1,0,0,1,1,0,1,0.4727272727272728,0.41443298969072156
59,7210000.0,6000.0,3,2.0,4,1,1,0,0,1,1,0,2,0.4727272727272728,0.29896907216494845
60,7140000.0,6000.0,3,2.0,2,1,1,0,0,0,1,0,1,0.4666666666666667,0.29896907216494845
61,7070000.0,8880.0,2,1.0,1,1,0,0,0,1,1,0,1,0.4606060606060606,0.4969072164948453
62,7070000.0,6240.0,4,2.0,2,1,0,0,0,1,1,0,2,0.4606060606060606,0.3154639175257732
63,7035000.0,6360.0,4,2.0,3,1,0,0,0,1,2,1,2,0.4575757575757575,0.3237113402061855
64,7000000.0,11175.0,3,1.0,1,1,0,1,0,1,1,1,2,0.4545454545454546,0.6546391752577319
65,6930000.0,8880.0,3,2.0,2,1,0,1,0,1,1,0,2,0.4484848484848485,0.4969072164948453
66,6930000.0,13200.0,2,1.0,1,1,0,1,1,0,1,0,2,0.4484848484848485,0.7938144329896906
67,6895000.0,7700.0,3,2.0,1,1,0,0,0,0,2,0,0,0.44545454545454544,0.41580756013745707
68,6860000.0,6000.0,3,1.0,1,1,0,0,0,1,1,0,2,0.4424242424242424,0.29896907216494845
69,6790000.0,12090.0,4,2.0,2,1,0,0,0,0,2,1,2,0.4363636363636364,0.7175257731958762
70,6790000.0,4000.0,3,2.0,2,1,0,1,0,1,0,1,1,0.4363636363636364,0.16151202749140892
71,6755000.0,6000.0,4,2.0,4,1,0,0,0,1,0,0,0,0.43333333333333335,0.29896907216494845
72,6720000.0,5020.0,3,1.0,4,1,0,0,0,1,0,1,0,0.4303030303030303,0.2316151202749141
73,6685000.0,6600.0,2,2.0,4,1,0,1,0,0,0,1,2,0.42727272727272725,0.34020618556701027
74,6650000.0,4040.0,3,1.0,2,1,0,1,1,0,1,0,2,0.4242424242424242,0.1642611683848797
75,6650000.0,4260.0,4,2.0,2,1,0,0,1,0,0,0,1,0.4242424242424242,0.17938144329896905
76,6650000.0,6420.0,3,2.0,3,1,0,0,0,1,0,1,2,0.4242424242424242,0.32783505154639175
77,6650000.0,6500.0,3,2.0,3,1,0,0,0,1,0,1,2,0.4242424242424242,0.3333333333333333
78,6650000.0,5700.0,3,1.0,1,1,1,1,0,1,2,1,2,0.4242424242424242,0.2783505154639175
79,6650000.0,6000.0,3,2.0,3,1,1,0,0,1,0,0,2,0.4242424242424242,0.29896907216494845
81,6615000.0,4000.0,3,2.0,2,1,0,1,0,1,1,0,1,0.42121212121212126,0.16151202749140892
82,6615000.0,10500.0,3,2.0,1,1,0,1,0,1,1,1,2,0.42121212121212126,0.6082474226804124
83,6580000.0,6000.0,3,2.0,4,1,0,0,0,1,0,0,1,0.4181818181818182,0.29896907216494845
84,6510000.0,3760.0,3,1.0,2,1,0,0,1,0,2,0,1,0.4121212121212121,0.14501718213058418
85,6510000.0,8250.0,3,2.0,3,1,0,0,0,1,0,0,2,0.4121212121212121,0.4536082474226804
86,6510000.0,6670.0,3,1.0,3,1,0,1,0,0,0,1,0,0.4121212121212121,0.3450171821305842
87,6475000.0,3960.0,3,1.0,1,1,0,1,0,0,2,0,1,0.40909090909090906,0.15876288659793814
88,6475000.0,7410.0,3,1.0,1,1,1,1,0,1,2,1,0,0.40909090909090906,0.3958762886597938
89,6440000.0,8580.0,5,3.0,2,1,0,0,0,0,2,0,2,0.406060606060606,0.47628865979381435
90,6440000.0,5000.0,3,1.0,2,1,0,0,0,1,0,0,1,0.406060606060606,0.23024054982817865
91,6419000.0,6750.0,2,1.0,1,1,1,1,0,0,2,1,2,0.4042424242424243,0.35051546391752575
92,6405000.0,4800.0,3,2.0,4,1,1,0,0,1,0,0,2,0.40303030303030307,0.21649484536082475
93,6300000.0,7200.0,3,2.0,1,1,0,1,0,1,3,0,1,0.3939393939393939,0.38144329896907214
94,6300000.0,6000.0,4,2.0,4,1,0,0,0,0,1,0,1,0.3939393939393939,0.29896907216494845
95,6300000.0,4100.0,3,2.0,3,1,0,0,0,1,2,0,1,0.3939393939393939,0.16838487972508592
96,6300000.0,9000.0,3,1.0,1,1,0,1,0,0,1,1,2,0.3939393939393939,0.5051546391752577
97,6300000.0,6400.0,3,1.0,1,1,1,1,0,1,1,1,1,0.3939393939393939,0.32646048109965636
98,6293000.0,6600.0,3,2.0,3,1,0,0,0,1,0,1,0,0.3933333333333333,0.34020618556701027
99,6265000.0,6000.0,4,1.0,3,1,1,1,0,0,0,1,0,0.3909090909090909,0.29896907216494845
100,6230000.0,6600.0,3,2.0,1,1,0,1,0,1,0,1,0,0.3878787878787878,0.34020618556701027
101,6230000.0,5500.0,3,1.0,3,1,0,0,0,0,1,1,0,0.3878787878787878,0.2646048109965636
102,6195000.0,5500.0,3,2.0,4,1,1,0,0,1,1,0,1,0.3848484848484849,0.2646048109965636
103,6195000.0,6350.0,3,2.0,3,1,1,0,0,1,0,0,2,0.3848484848484849,0.32302405498281783
104,6195000.0,5500.0,3,2.0,1,1,1,1,0,0,2,1,2,0.3848484848484849,0.2646048109965636
105,6160000.0,4500.0,3,1.0,4,1,0,0,0,1,0,0,0,0.38181818181818183,0.19587628865979378
106,6160000.0,5450.0,4,2.0,1,1,0,1,0,1,0,1,1,0.38181818181818183,0.26116838487972505
107,6125000.0,6420.0,3,1.0,3,1,0,1,0,0,0,1,0,0.3787878787878788,0.32783505154639175
108,6107500.0,3240.0,4,1.0,3,1,0,0,0,0,1,0,1,0.3772727272727273,0.10927835051546392
109,6090000.0,6615.0,4,2.0,2,1,1,0,1,0,1,0,1,0.37575757575757573,0.3412371134020618
110,6090000.0,6600.0,3,1.0,1,1,1,1,0,0,2,1,1,0.37575757575757573,0.34020618556701027
111,6090000.0,8372.0,3,1.0,3,1,0,0,0,1,2,0,0,0.37575757575757573,0.46199312714776625
112,6083000.0,4300.0,6,2.0,2,1,0,0,0,0,0,0,2,0.3751515151515151,0.18213058419243983
113,6083000.0,9620.0,3,1.0,1,1,0,1,0,0,2,1,2,0.3751515151515151,0.547766323024055
114,6020000.0,6800.0,2,1.0,1,1,1,1,0,0,2,0,2,0.36969696969696975,0.3539518900343642
115,6020000.0,8000.0,3,1.0,1,1,1,1,0,1,2,1,1,0.36969696969696975,0.4364261168384879
117,5950000.0,3700.0,4,1.0,2,1,1,0,0,1,0,0,2,0.36363636363636365,0.140893470790378
118,5950000.0,6420.0,3,1.0,1,1,0,1,0,1,0,1,2,0.36363636363636365,0.32783505154639175
119,5950000.0,7020.0,3,1.0,1,1,0,1,0,1,2,1,1,0.36363636363636365,0.3690721649484536
120,5950000.0,6540.0,3,1.0,1,1,1,1,0,0,2,1,2,0.36363636363636365,0.3360824742268041
121,5950000.0,7231.0,3,1.0,2,1,1,1,0,1,0,1,1,0.36363636363636365,0.383573883161512
122,5950000.0,6254.0,4,2.0,1,1,0,1,0,0,1,1,1,0.36363636363636365,0.3164261168384879
123,5950000.0,7320.0,4,2.0,2,1,0,0,0,0,0,0,2,0.36363636363636365,0.38969072164948454
124,5950000.0,6525.0,3,2.0,4,1,0,0,0,0,1,0,2,0.36363636363636365,0.33505154639175255
125,5943000.0,15600.0,3,1.0,1,1,0,0,0,1,2,0,1,0.36303030303030304,0.9587628865979381
126,5880000.0,7160.0,3,1.0,1,1,0,1,0,0,2,1,0,0.35757575757575755,0.37869415807560136
127,5880000.0,6500.0,3,2.0,3,1,0,0,0,1,0,0,0,0.35757575757575755,0.3333333333333333
128,5873000.0,5500.0,3,1.0,3,1,1,0,0,1,1,0,2,0.35696969696969694,0.2646048109965636
129,5873000.0,11460.0,3,1.0,3,1,0,0,0,0,2,1,1,0.35696969696969694,0.6742268041237114
130,5866000.0,4800.0,3,1.0,1,1,1,1,0,0,0,0,0,0.3563636363636363,0.21649484536082475
131,5810000.0,5828.0,4,1.0,4,1,1,0,0,0,0,0,1,0.35151515151515156,0.287147766323024
132,5810000.0,5200.0,3,1.0,3,1,0,0,0,1,0,0,1,0.35151515151515156,0.2439862542955326
133,5810000.0,4800.0,3,1.0,3,1,0,0,0,1,0,0,0,0.35151515151515156,0.21649484536082475
134,5803000.0,7000.0,3,1.0,1,1,0,1,0,0,2,1,1,0.35090909090909095,0.3676975945017182
135,5775000.0,6000.0,3,2.0,4,1,0,0,0,1,0,0,0,0.3484848484848485,0.29896907216494845
136,5740000.0,5400.0,4,2.0,2,1,0,0,0,1,2,0,0,0.34545454545454546,0.25773195876288657
137,5740000.0,4640.0,4,1.0,2,1,0,0,0,0,1,0,1,0.34545454545454546,0.20549828178694157
138,5740000.0,5000.0,3,1.0,3,1,0,0,0,1,0,0,1,0.34545454545454546,0.23024054982817865
139,5740000.0,6360.0,3,1.0,1,1,1,1,0,1,2,1,2,0.34545454545454546,0.3237113402061855
140,5740000.0,5800.0,3,2.0,4,1,0,0,0,1,0,0,0,0.34545454545454546,0.2852233676975945
141,5652500.0,6660.0,4,2.0,2,1,1,1,0,0,1,1,1,0.3378787878787879,0.3443298969072165
142,5600000.0,10500.0,4,2.0,2,1,0,0,0,0,1,0,1,0.33333333333333326,0.6082474226804124
143,5600000.0,4800.0,5,2.0,3,0,0,1,1,0,0,0,0,0.33333333333333326,0.21649484536082475
144,5600000.0,4700.0,4,1.0,2,1,1,1,0,1,1,0,2,0.33333333333333326,0.20962199312714774
145,5600000.0,5000.0,3,1.0,4,1,0,0,0,0,0,0,2,0.33333333333333326,0.23024054982817865
146,5600000.0,10500.0,2,1.0,1,1,0,0,0,0,1,0,1,0.33333333333333326,0.6082474226804124
147,5600000.0,5500.0,3,2.0,2,1,0,0,0,0,1,0,1,0.33333333333333326,0.2646048109965636
148,5600000.0,6360.0,3,1.0,3,1,0,0,0,0,0,1,1,0.33333333333333326,0.3237113402061855
149,5600000.0,6600.0,4,2.0,1,1,0,1,0,0,0,1,1,0.33333333333333326,0.34020618556701027
150,5600000.0,5136.0,3,1.0,2,1,1,1,0,1,0,1,0,0.33333333333333326,0.23958762886597934
151,5565000.0,4400.0,4,1.0,2,1,0,0,0,1,2,1,1,0.3303030303030303,0.18900343642611683
152,5565000.0,5400.0,5,1.0,2,1,1,1,0,1,0,1,2,0.3303030303030303,0.25773195876288657
153,5530000.0,3300.0,3,3.0,2,1,0,1,0,0,0,0,1,0.32727272727272727,0.11340206185567009
154,5530000.0,3650.0,3,2.0,2,1,0,0,0,0,2,0,1,0.32727272727272727,0.13745704467353953
155,5530000.0,6100.0,3,2.0,1,1,0,1,0,0,2,1,2,0.32727272727272727,0.3058419243986254
156,5523000.0,6900.0,3,1.0,1,1,1,1,0,0,0,1,1,0.32666666666666666,0.36082474226804123
157,5495000.0,2817.0,4,2.0,2,0,1,1,0,0,1,0,2,0.3242424242424242,0.08020618556701031
158,5495000.0,7980.0,3,1.0,1,1,0,0,0,0,2,0,1,0.3242424242424242,0.43505154639175253
159,5460000.0,3150.0,3,2.0,1,1,1,1,0,1,0,0,2,0.32121212121212117,0.10309278350515463
160,5460000.0,6210.0,4,1.0,4,1,1,0,0,1,0,0,2,0.32121212121212117,0.3134020618556701
161,5460000.0,6100.0,3,1.0,3,1,1,0,0,1,0,1,1,0.32121212121212117,0.3058419243986254
162,5460000.0,6600.0,4,2.0,2,1,1,1,0,0,0,1,1,0.32121212121212117,0.34020618556701027
163,5425000.0,6825.0,3,1.0,1,1,1,1,0,1,0,1,1,0.3181818181818181,0.35567010309278346
164,5390000.0,6710.0,3,2.0,2,1,1,1,0,0,1,1,2,0.31515151515151507,0.34776632302405497
165,5383000.0,6450.0,3,2.0,1,1,1,1,1,0,0,0,0,0.3145454545454546,0.32989690721649484
166,5320000.0,7800.0,3,1.0,1,1,0,1,0,1,2,1,0,0.3090909090909091,0.422680412371134
167,5285000.0,4600.0,2,2.0,1,1,0,0,0,1,2,0,1,0.30606060606060603,0.2027491408934708
168,5250000.0,4260.0,4,1.0,2,1,0,1,0,1,0,0,2,0.303030303030303,0.17938144329896905
169,5250000.0,6540.0,4,2.0,2,0,0,0,0,1,0,0,1,0.303030303030303,0.3360824742268041
170,5250000.0,5500.0,3,2.0,1,1,0,1,0,0,0,0,1,0.303030303030303,0.2646048109965636
171,5250000.0,10269.0,3,1.0,1,1,0,0,0,0,1,1,1,0.303030303030303,0.5923711340206186
172,5250000.0,8400.0,3,1.0,2,1,1,1,0,1,2,1,0,0.303030303030303,0.46391752577319584
173,5250000.0,5300.0,4,2.0,1,1,0,0,0,1,0,1,0,0.303030303030303,0.2508591065292096
174,5250000.0,3800.0,3,1.0,2,1,1,1,0,0,1,1,0,0.303030303030303,0.14776632302405496
175,5250000.0,9800.0,4,2.0,2,1,1,0,0,0,2,0,1,0.303030303030303,0.5601374570446735
176,5250000.0,8520.0,3,1.0,1,1,0,0,0,1,2,0,2,0.303030303030303,0.4721649484536082
177,5243000.0,6050.0,3,1.0,1,1,0,1,0,0,0,1,1,0.3024242424242424,0.3024054982817869
178,5229000.0,7085.0,3,1.0,1,1,1,1,0,0,2,1,1,0.30121212121212115,0.3735395189003436
179,5215000.0,3180.0,3,2.0,2,1,0,0,0,0,2,0,1,0.29999999999999993,0.10515463917525772
180,5215000.0,4500.0,4,2.0,1,0,0,1,0,1,2,0,1,0.29999999999999993,0.19587628865979378
181,5215000.0,7200.0,3,1.0,2,1,1,1,0,0,1,1,2,0.29999999999999993,0.38144329896907214
182,5145000.0,3410.0,3,1.0,2,0,0,0,0,1,0,0,1,0.29393939393939394,0.12096219931271476
184,5110000.0,3000.0,3,2.0,2,1,1,1,0,0,0,0,2,0.2909090909090909,0.09278350515463918
185,5110000.0,3000.0,3,1.0,2,1,0,1,0,0,0,0,0,0.2909090909090909,0.09278350515463918
186,5110000.0,11410.0,2,1.0,2,1,0,0,0,0,0,1,2,0.2909090909090909,0.6707903780068729
187,5110000.0,6100.0,3,1.0,1,1,0,1,0,1,0,1,1,0.2909090909090909,0.3058419243986254
188,5075000.0,5720.0,2,1.0,2,1,0,0,0,1,0,1,0,0.28787878787878785,0.2797250859106529
189,5040000.0,3540.0,2,1.0,1,0,1,1,0,0,0,0,1,0.2848484848484848,0.12989690721649483
190,5040000.0,7600.0,4,1.0,2,1,0,0,0,1,2,0,2,0.2848484848484848,0.40893470790378
191,5040000.0,10700.0,3,1.0,2,1,1,1,0,0,0,0,1,0.2848484848484848,0.6219931271477663
192,5040000.0,6600.0,3,1.0,1,1,1,1,0,0,0,1,2,0.2848484848484848,0.34020618556701027
193,5033000.0,4800.0,2,1.0,1,1,1,1,0,0,0,0,1,0.2842424242424242,0.21649484536082475
194,5005000.0,8150.0,3,2.0,1,1,1,1,0,0,0,0,1,0.28181818181818175,0.44673539518900346
195,4970000.0,4410.0,4,3.0,2,1,0,1,0,0,2,0,1,0.2787878787878788,0.18969072164948453
196,4970000.0,7686.0,3,1.0,1,1,1,1,1,0,0,0,1,0.2787878787878788,0.41484536082474227
197,4956000.0,2800.0,3,2.0,2,0,0,1,0,1,1,0,1,0.2775757575757576,0.07903780068728522
198,4935000.0,5948.0,3,1.0,2,1,0,0,0,1,0,0,1,0.27575757575757576,0.2953951890034364
199,4907000.0,4200.0,3,1.0,2,1,0,0,0,0,1,0,2,0.2733333333333333,0.17525773195876287
200,4900000.0,4520.0,3,1.0,2,1,0,1,0,1,0,0,1,0.2727272727272727,0.19725085910652917
201,4900000.0,4095.0,3,1.0,2,0,1,1,0,1,0,0,1,0.2727272727272727,0.16804123711340208
202,4900000.0,4120.0,2,1.0,1,1,0,1,0,0,1,0,1,0.2727272727272727,0.1697594501718213
203,4900000.0,5400.0,4,1.0,2,1,0,0,0,0,0,0,1,0.2727272727272727,0.25773195876288657
204,4900000.0,4770.0,3,1.0,1,1,1,1,0,0,0,0,1,0.2727272727272727,0.2144329896907216
205,4900000.0,6300.0,3,1.0,1,1,0,0,0,1,2,0,1,0.2727272727272727,0.31958762886597936
206,4900000.0,5800.0,2,1.0,1,1,1,1,0,1,0,0,1,0.2727272727272727,0.2852233676975945
207,4900000.0,3000.0,3,1.0,2,1,0,1,0,1,0,0,1,0.2727272727272727,0.09278350515463918
208,4900000.0,2970.0,3,1.0,3,1,0,0,0,0,0,0,1,0.2727272727272727,0.0907216494845361
209,4900000.0,6720.0,3,1.0,1,1,0,0,0,0,0,0,0,0.2727272727272727,0.34845360824742266
210,4900000.0,4646.0,3,1.0,2,1,1,1,0,0,2,0,1,0.2727272727272727,0.20591065292096217
211,4900000.0,12900.0,3,1.0,1,1,0,0,0,0,2,0,2,0.2727272727272727,0.7731958762886597
212,4893000.0,3420.0,4,2.0,2,1,0,1,0,1,2,0,1,0.2721212121212121,0.12164948453608246
213,4893000.0,4995.0,4,2.0,1,1,0,1,0,0,0,0,1,0.2721212121212121,0.2298969072164948
214,4865000.0,4350.0,2,1.0,1,1,0,1,0,0,0,0,0,0.26969696969696966,0.18556701030927836
215,4830000.0,4160.0,3,1.0,3,1,0,0,0,0,0,0,0,0.2666666666666666,0.1725085910652921
216,4830000.0,6040.0,3,1.0,1,1,0,0,0,0,2,1,1,0.2666666666666666,0.3017182130584192
217,4830000.0,6862.0,3,1.0,2,1,0,0,0,1,2,1,2,0.2666666666666666,0.35821305841924395
218,4830000.0,4815.0,2,1.0,1,1,0,0,0,1,0,1,1,0.2666666666666666,0.2175257731958763
219,4795000.0,7000.0,3,1.0,2,1,0,1,0,0,0,0,0,0.26363636363636356,0.3676975945017182
220,4795000.0,8100.0,4,1.0,4,1,0,1,0,1,2,0,1,0.26363636363636356,0.4432989690721649
221,4767000.0,3420.0,4,2.0,2,1,0,0,0,0,0,0,1,0.26121212121212123,0.12164948453608246
222,4760000.0,9166.0,2,1.0,1,1,0,1,0,1,2,0,1,0.2606060606060606,0.5165635738831615
223,4760000.0,6321.0,3,1.0,2,1,0,1,0,1,1,0,2,0.2606060606060606,0.32103092783505155
224,4760000.0,10240.0,2,1.0,1,1,0,0,0,1,2,1,0,0.2606060606060606,0.5903780068728521
225,4753000.0,6440.0,2,1.0,1,1,0,0,0,1,3,0,1,0.26,0.32920962199312714
226,4690000.0,5170.0,3,1.0,4,1,0,0,0,1,0,0,1,0.2545454545454545,0.24192439862542953
227,4690000.0,6000.0,2,1.0,1,1,0,1,0,1,1,0,2,0.2545454545454545,0.29896907216494845
228,4690000.0,3630.0,3,1.0,2,1,0,0,0,0,2,0,1,0.2545454545454545,0.1360824742268041
229,4690000.0,9667.0,4,2.0,2,1,1,1,0,0,1,0,1,0.2545454545454545,0.5509965635738832
230,4690000.0,5400.0,2,1.0,2,1,0,0,0,0,0,1,1,0.2545454545454545,0.25773195876288657
231,4690000.0,4320.0,3,1.0,1,1,0,0,0,0,0,1,1,0.2545454545454545,0.18350515463917527
232,4655000.0,3745.0,3,1.0,2,1,0,1,0,0,0,0,2,0.25151515151515147,0.14398625429553263
233,4620000.0,4160.0,3,1.0,1,1,1,1,0,1,0,0,0,0.24848484848484845,0.1725085910652921
234,4620000.0,3880.0,3,2.0,2,1,0,1,0,0,2,0,1,0.24848484848484845,0.15326460481099657
235,4620000.0,5680.0,3,1.0,2,1,1,0,0,1,1,0,1,0.24848484848484845,0.2769759450171821
236,4620000.0,2870.0,2,1.0,2,1,1,1,0,0,0,1,1,0.24848484848484845,0.08384879725085911
237,4620000.0,5010.0,3,1.0,2,1,0,1,0,0,0,0,1,0.24848484848484845,0.2309278350515464
238,4613000.0,4510.0,4,2.0,2,1,0,1,0,0,0,0,1,0.24787878787878784,0.19656357388316148
239,4585000.0,4000.0,3,1.0,2,1,0,0,0,0,1,0,2,0.24545454545454545,0.16151202749140892
240,4585000.0,3840.0,3,1.0,2,1,0,0,0,0,1,1,1,0.24545454545454545,0.15051546391752574
241,4550000.0,3760.0,3,1.0,1,1,0,0,0,0,2,0,1,0.2424242424242424,0.14501718213058418
242,4550000.0,3640.0,3,1.0,2,1,0,0,0,1,0,0,2,0.2424242424242424,0.13676975945017184
243,4550000.0,2550.0,3,1.0,2,1,0,1,0,0,0,0,2,0.2424242424242424,0.061855670103092786
244,4550000.0,5320.0,3,1.0,2,1,1,1,0,0,0,1,1,0.2424242424242424,0.252233676975945
245,4550000.0,5360.0,3,1.0,2,1,0,0,0,0,2,1,0,0.2424242424242424,0.2549828178694158
246,4550000.0,3520.0,3,1.0,1,1,0,0,0,0,0,1,1,0.2424242424242424,0.12852233676975944
247,4550000.0,8400.0,4,1.0,4,1,0,0,0,0,3,0,0,0.2424242424242424,0.46391752577319584
248,4543000.0,4100.0,2,2.0,1,1,1,1,0,0,0,0,1,0.2418181818181818,0.16838487972508592
249,4543000.0,4990.0,4,2.0,2,1,1,1,0,0,0,1,2,0.2418181818181818,0.22955326460481096
250,4515000.0,3510.0,3,1.0,3,1,0,0,0,0,0,0,1,0.23939393939393935,0.12783505154639174
251,4515000.0,3450.0,3,1.0,2,1,0,1,0,0,1,0,1,0.23939393939393935,0.12371134020618557
252,4515000.0,9860.0,3,1.0,1,1,0,0,0,0,0,0,1,0.23939393939393935,0.5642611683848797
253,4515000.0,3520.0,2,1.0,2,1,0,0,0,0,0,1,2,0.23939393939393935,0.12852233676975944
254,4480000.0,4510.0,4,1.0,2,1,0,0,0,1,2,0,1,0.23636363636363636,0.19656357388316148
256,4480000.0,4000.0,3,1.0,2,1,0,0,0,0,2,0,2,0.23636363636363636,0.16151202749140892
257,4480000.0,8250.0,3,1.0,1,1,0,0,0,0,0,0,2,0.23636363636363636,0.4536082474226804
